Area Year,Area,Year,Cases,Rate
Cameron2014,Cameron,2014,206,49.1
Camp2017,Camp,2017,22,170.9
Camp2014,Camp,2014,18,142.1
Camp2018,Camp,2018,16,122.8
Camp2016,Camp,2016,9,70.4
Camp2015,Camp,2015,6,47.2
Carson2017,Carson,2017,33,549.1
Carson2018,Carson,2018,25,416.3
Carson2016,Carson,2016,23,377.4
Carson2015,Carson,2015,9,149.7
Carson2014,Carson,2014,,
Cass2014,Cass,2014,55,182.6
Cass2018,Cass,2018,46,152.7
Cass2016,Cass,2016,40,133
Cass2017,Cass,2017,39,130.1
Cass2015,Cass,2015,15,49.8
Castro2014,Castro,2014,9,113.5
Castro2018,Castro,2018,8,104.4
Castro2016,Castro,2016,7,89.9
Castro2015,Castro,2015,5,64.1
Castro2017,Castro,2017,,
Chambers2016,Chambers,2016,20,49.7
Chambers2015,Chambers,2015,17,43.5
Chambers2018,Chambers,2018,15,35.3
Chambers2014,Chambers,2014,10,26.1
Chambers2017,Chambers,2017,9,21.7
Cherokee2017,Cherokee,2017,91,174.4
Cherokee2015,Cherokee,2015,74,143.4
Cherokee2018,Cherokee,2018,73,138.8
Cherokee2016,Cherokee,2016,73,140.6
Cherokee2014,Cherokee,2014,71,138.6
Childress2018,Childress,2018,23,315.5
Childress2016,Childress,2016,17,236.2
Childress2015,Childress,2015,16,223.2
Childress2017,Childress,2017,11,151.1
Childress2014,Childress,2014,7,97.3
Clay2017,Clay,2017,8,76.2
Clay2016,Clay,2016,6,58.5
Clay2018,Clay,2018,,
Clay2015,Clay,2015,,
Clay2014,Clay,2014,,
Cochran2015,Cochran,2015,5,168.1
Cochran2014,Cochran,2014,0,0
Cochran2018,Cochran,2018,,
Cochran2017,Cochran,2017,,
Cochran2016,Cochran,2016,,
Coke2014,Coke,2014,5,155.5
Coke2018,Coke,2018,,
Coke2017,Coke,2017,,
Coke2016,Coke,2016,,
Coke2015,Coke,2015,,
Coleman2017,Coleman,2017,22,261.4
Coleman2018,Coleman,2018,8,95.3
Coleman2016,Coleman,2016,7,83.2
Coleman2015,Coleman,2015,,
Coleman2014,Coleman,2014,,
Collin2018,Collin,2018,897,89.2
Collin2017,Collin,2017,858,88.3
Collin2016,Collin,2016,700,74.2
Collin2015,Collin,2015,546,59.6
Collin2014,Collin,2014,407,45.9
Collingsworth2018,Collingsworth,2018,0,0
Collingsworth2017,Collingsworth,2017,0,0
Collingsworth2016,Collingsworth,2016,0,0
Collingsworth2015,Collingsworth,2015,0,0
Collingsworth2014,Collingsworth,2014,,
Colorado2018,Colorado,2018,21,99
Colorado2017,Colorado,2017,15,70.7
Colorado2016,Colorado,2016,15,71.3
Colorado2015,Colorado,2015,14,66.9
Colorado2014,Colorado,2014,13,62.8
Comal2017,Comal,2017,122,86.7
Comal2018,Comal,2018,120,80.9
Comal2016,Comal,2016,113,84.1
Comal2015,Comal,2015,77,59.8
Comal2014,Comal,2014,41,33.3
Comanche2017,Comanche,2017,11,81.2
Comanche2016,Comanche,2016,8,59.1
Comanche2018,Comanche,2018,7,51.7
Comanche2015,Comanche,2015,,
Comanche2014,Comanche,2014,,
Concho2014,Concho,2014,0,0
Concho2018,Concho,2018,,
Concho2017,Concho,2017,,
Concho2016,Concho,2016,,
Concho2015,Concho,2015,,
Cooke2014,Cooke,2014,35,90.3
Cooke2018,Cooke,2018,30,73.9
Cooke2016,Cooke,2016,30,76.2
Cooke2017,Cooke,2017,26,65
Cooke2015,Cooke,2015,22,56.2
Coryell2016,Coryell,2016,151,201.7
Coryell2018,Coryell,2018,120,160.4
Coryell2017,Coryell,2017,118,157.6
Coryell2015,Coryell,2015,90,118.1
Coryell2014,Coryell,2014,89,116.8
Cottle2018,Cottle,2018,0,0
Cottle2016,Cottle,2016,0,0
Cottle2015,Cottle,2015,0,0
Cottle2014,Cottle,2014,0,0
Cottle2017,Cottle,2017,,
Crane2017,Crane,2017,5,106.1
Crane2018,Crane,2018,,
Crane2016,Crane,2016,,
Crane2015,Crane,2015,,
Crane2014,Crane,2014,,
Crockett2018,Crockett,2018,,
Crockett2017,Crockett,2017,,
Crockett2016,Crockett,2016,,
Crockett2015,Crockett,2015,,
Crockett2014,Crockett,2014,,
Crosby2018,Crosby,2018,9,155.7
Crosby2017,Crosby,2017,8,136.2
Crosby2014,Crosby,2014,6,103
Crosby2016,Crosby,2016,,
Crosby2015,Crosby,2015,,
Culberson2018,Culberson,2018,0,0
Culberson2017,Culberson,2017,0,0
Culberson2015,Culberson,2015,0,0
Culberson2016,Culberson,2016,,
Culberson2014,Culberson,2014,,
Dallam2016,Dallam,2016,9,123.4
Dallam2015,Dallam,2015,7,96
Dallam2017,Dallam,2017,5,69.3
Dallam2018,Dallam,2018,,
Dallam2014,Dallam,2014,,
Dallas2018,Dallas,2018,"7,486",283.8
Dallas2017,Dallas,2017,"7,108",271
Dallas2016,Dallas,2016,"6,025",232.4
Dallas2014,Dallas,2014,"5,712",226.6
Dallas2015,Dallas,2015,"5,331",208.3
Dawson2018,Dawson,2018,29,229.8
Dawson2015,Dawson,2015,24,184.8
Dawson2017,Dawson,2017,14,109.7
Dawson2016,Dawson,2016,14,107.7
Dawson2014,Dawson,2014,9,66.9
DeWitt2018,DeWitt,2018,32,158.5
DeWitt2016,DeWitt,2016,24,116.4
DeWitt2014,DeWitt,2014,22,107.2
DeWitt2015,DeWitt,2015,21,101.8
DeWitt2017,DeWitt,2017,15,74.2
Deaf Smith2014,Deaf Smith,2014,30,156.7
Deaf Smith2018,Deaf Smith,2018,27,143.9
Deaf Smith2017,Deaf Smith,2017,23,122
Deaf Smith2016,Deaf Smith,2016,16,84.7
Deaf Smith2015,Deaf Smith,2015,10,53
Delta2018,Delta,2018,7,130.9
Delta2016,Delta,2016,7,136.1
Delta2017,Delta,2017,,
Delta2015,Delta,2015,,
Delta2014,Delta,2014,,
Denton2018,Denton,2018,772,89.9
Denton2017,Denton,2017,710,85
Denton2016,Denton,2016,566,70.1
Denton2015,Denton,2015,542,69.5
Denton2014,Denton,2014,431,57.2
Dickens2017,Dickens,2017,0,0
Dickens2016,Dickens,2016,0,0
Dickens2018,Dickens,2018,,
Dickens2015,Dickens,2015,,
Dickens2014,Dickens,2014,,
Dimmit2014,Dimmit,2014,21,190.9
Dimmit2018,Dimmit,2018,12,116.4
Dimmit2015,Dimmit,2015,10,91.4
Dimmit2017,Dimmit,2017,9,87
Dimmit2016,Dimmit,2016,5,46.6
Donley2018,Donley,2018,0,0
Donley2017,Donley,2017,,
Donley2016,Donley,2016,,
Donley2015,Donley,2015,,
Donley2014,Donley,2014,,
Duval2018,Duval,2018,30,267.6
Duval2017,Duval,2017,23,204
Duval2016,Duval,2016,23,201.2
Duval2015,Duval,2015,11,97
Duval2014,Duval,2014,11,95.5
Eastland2014,Eastland,2014,9,49.3
Eastland2018,Eastland,2018,8,43.7
Eastland2016,Eastland,2016,8,43.8
Eastland2017,Eastland,2017,7,38.2
Eastland2015,Eastland,2015,7,38.5
Ector2014,Ector,2014,366,236.6
Ector2015,Ector,2015,353,220.7
Ector2016,Ector,2016,294,186.3
Ector2017,Ector,2017,266,169.2
Ector2018,Ector,2018,262,161.6
Edwards2018,Edwards,2018,0,0
Edwards2017,Edwards,2017,0,0
Edwards2015,Edwards,2015,0,0
Edwards2014,Edwards,2014,0,0
Edwards2016,Edwards,2016,,
El Paso2018,El Paso,2018,"1,137",135.2
El Paso2017,El Paso,2017,726,86.4
El Paso2014,El Paso,2014,675,80.8
El Paso2015,El Paso,2015,532,63.8
El Paso2016,El Paso,2016,348,41.5
Ellis2018,Ellis,2018,200,111.5
Ellis2016,Ellis,2016,196,116.3
Ellis2017,Ellis,2017,172,99.1
Ellis2015,Ellis,2015,132,80.8
Ellis2014,Ellis,2014,96,60.3
Erath2018,Erath,2018,56,131.9
Erath2016,Erath,2016,35,84.6
Erath2017,Erath,2017,29,69.3
Erath2014,Erath,2014,24,59.2
Erath2015,Erath,2015,20,48.5
Falls2017,Falls,2017,44,252.8
