Area Year,Area,Year,Cases,Rate
La Salle2015,La Salle,2015,,
La Salle2014,La Salle,2014,,
Lamar2017,Lamar,2017,141,284.3
Lamar2018,Lamar,2018,110,221.2
Lamar2016,Lamar,2016,109,220
Lamar2015,Lamar,2015,102,206.6
Lamar2014,Lamar,2014,68,137.6
Lamb2016,Lamb,2016,23,174.2
Lamb2015,Lamb,2015,17,128.2
Lamb2018,Lamb,2018,16,121.6
Lamb2014,Lamb,2014,16,118.7
Lamb2017,Lamb,2017,15,113.7
Lampasas2016,Lampasas,2016,36,175.1
Lampasas2017,Lampasas,2017,35,167.3
Lampasas2015,Lampasas,2015,18,88.3
Lampasas2018,Lampasas,2018,15,70.7
Lampasas2014,Lampasas,2014,12,59.7
Lavaca2014,Lavaca,2014,14,70.8
Lavaca2018,Lavaca,2018,8,39.8
Lavaca2017,Lavaca,2017,8,40
Lavaca2016,Lavaca,2016,5,25.2
Lavaca2015,Lavaca,2015,5,25.1
Lee2017,Lee,2017,9,52.5
Lee2014,Lee,2014,9,54.1
Lee2015,Lee,2015,8,47.4
Lee2018,Lee,2018,5,29.2
Lee2016,Lee,2016,,
Leon2017,Leon,2017,26,150.7
Leon2016,Leon,2016,16,93
Leon2015,Leon,2015,16,93.9
Leon2014,Leon,2014,13,77.7
Leon2018,Leon,2018,6,34.7
Liberty2018,Liberty,2018,93,107.7
Liberty2016,Liberty,2016,75,92
Liberty2017,Liberty,2017,74,88.3
Liberty2015,Liberty,2015,61,76.6
Liberty2014,Liberty,2014,41,52.5
Limestone2016,Limestone,2016,39,165.8
Limestone2015,Limestone,2015,30,127.8
Limestone2014,Limestone,2014,26,110.5
Limestone2017,Limestone,2017,20,85
Limestone2018,Limestone,2018,19,80.8
Lipscomb2015,Lipscomb,2015,0,0
Lipscomb2018,Lipscomb,2018,,
Lipscomb2017,Lipscomb,2017,,
Lipscomb2016,Lipscomb,2016,,
Lipscomb2014,Lipscomb,2014,,
Live Oak2017,Live Oak,2017,21,172.3
Live Oak2018,Live Oak,2018,18,148
Live Oak2016,Live Oak,2016,14,116.4
Live Oak2015,Live Oak,2015,9,73.9
Live Oak2014,Live Oak,2014,8,66.4
Llano2016,Llano,2016,13,63.1
Llano2015,Llano,2015,12,59.8
Llano2018,Llano,2018,,
Llano2017,Llano,2017,,
Llano2014,Llano,2014,,
Loving2018,Loving,2018,0,0
Loving2017,Loving,2017,0,0
Loving2016,Loving,2016,0,0
Loving2015,Loving,2015,0,0
Loving2014,Loving,2014,0,0
Lubbock2018,Lubbock,2018,"1,254",407.9
Lubbock2017,Lubbock,2017,961,315.2
Lubbock2015,Lubbock,2015,898,301
Lubbock2016,Lubbock,2016,834,276
Lubbock2014,Lubbock,2014,754,256
Lynn2017,Lynn,2017,10,171.2
Lynn2015,Lynn,2015,7,121.8
Lynn2014,Lynn,2014,7,120.7
Lynn2018,Lynn,2018,5,85.1
Lynn2016,Lynn,2016,5,86.6
Madison2014,Madison,2014,17,122.6
Madison2018,Madison,2018,15,104
Madison2017,Madison,2017,12,84.2
Madison2016,Madison,2016,11,77.9
Madison2015,Madison,2015,9,64.4
Marion2018,Marion,2018,16,161.2
Marion2017,Marion,2017,13,129.1
Marion2015,Marion,2015,9,88.8
Marion2016,Marion,2016,6,59.3
Marion2014,Marion,2014,6,59.1
Martin2017,Martin,2017,5,89.9
Martin2018,Martin,2018,0,0
Martin2016,Martin,2016,,
Martin2015,Martin,2015,,
Martin2014,Martin,2014,,
Mason2018,Mason,2018,,
Mason2017,Mason,2017,,
Mason2016,Mason,2016,,
Mason2015,Mason,2015,,
Mason2014,Mason,2014,,
Matagorda2014,Matagorda,2014,38,104.1
Matagorda2016,Matagorda,2016,36,97.1
Matagorda2017,Matagorda,2017,28,76.1
Matagorda2018,Matagorda,2018,27,73.9
Matagorda2015,Matagorda,2015,18,48.9
Maverick2014,Maverick,2014,37,64.7
Maverick2015,Maverick,2015,23,39.8
Maverick2018,Maverick,2018,21,35.9
Maverick2016,Maverick,2016,21,36.1
Maverick2017,Maverick,2017,20,34.3
McCulloch2017,McCulloch,2017,14,175.9
McCulloch2018,McCulloch,2018,13,162.8
McCulloch2016,McCulloch,2016,9,110.7
McCulloch2015,McCulloch,2015,,
McCulloch2014,McCulloch,2014,,
McLennan2017,McLennan,2017,862,343.2
McLennan2018,McLennan,2018,795,312.2
McLennan2016,McLennan,2016,667,269.3
McLennan2015,McLennan,2015,575,234.2
McLennan2014,McLennan,2014,467,192
McMullen2018,McMullen,2018,0,0
McMullen2016,McMullen,2016,0,0
McMullen2015,McMullen,2015,0,0
McMullen2014,McMullen,2014,0,0
McMullen2017,McMullen,2017,,
Medina2017,Medina,2017,31,61.7
Medina2018,Medina,2018,30,58.9
Medina2014,Medina,2014,22,46
Medina2016,Medina,2016,19,38.6
Medina2015,Medina,2015,14,28.9
Menard2018,Menard,2018,0,0
Menard2017,Menard,2017,0,0
Menard2015,Menard,2015,0,0
Menard2014,Menard,2014,0,0
Menard2016,Menard,2016,,
Midland2014,Midland,2014,310,197.7
Midland2015,Midland,2015,268,165.1
Midland2018,Midland,2018,226,131
Midland2017,Midland,2017,193,116.7
Midland2016,Midland,2016,175,106.8
Milam2015,Milam,2015,41,168.2
Milam2017,Milam,2017,34,136.1
Milam2016,Milam,2016,31,125.6
Milam2018,Milam,2018,26,103.5
Milam2014,Milam,2014,24,99.4
Mills2017,Mills,2017,0,0
Mills2016,Mills,2016,0,0
Mills2015,Mills,2015,0,0
Mills2014,Mills,2014,0,0
Mills2018,Mills,2018,,
Mitchell2014,Mitchell,2014,10,110.2
Mitchell2018,Mitchell,2018,9,110.5
Mitchell2017,Mitchell,2017,8,97.2
Mitchell2016,Mitchell,2016,5,59
Mitchell2015,Mitchell,2015,,
Montague2018,Montague,2018,10,51
Montague2014,Montague,2014,8,41.3
Montague2015,Montague,2015,6,31.2
Montague2017,Montague,2017,,
Montague2016,Montague,2016,,
Montgomery2018,Montgomery,2018,359,60.8
Montgomery2016,Montgomery,2016,349,62.8
Montgomery2017,Montgomery,2017,299,52.3
Montgomery2015,Montgomery,2015,242,45.1
Montgomery2014,Montgomery,2014,161,31.1
Moore2017,Moore,2017,21,96
Moore2016,Moore,2016,17,77.9
Moore2015,Moore,2015,17,77.9
Moore2018,Moore,2018,15,69.8
Moore2014,Moore,2014,8,36.4
Morris2017,Morris,2017,20,161.5
Morris2016,Morris,2016,20,161
Morris2014,Morris,2014,17,134.9
Morris2018,Morris,2018,15,121.6
Morris2015,Morris,2015,15,121.3
Motley2015,Motley,2015,0,0
Motley2014,Motley,2014,0,0
Motley2018,Motley,2018,,
Motley2017,Motley,2017,,
Motley2016,Motley,2016,,
Nacogdoches2017,Nacogdoches,2017,162,247
Nacogdoches2018,Nacogdoches,2018,149,226.8
Nacogdoches2016,Nacogdoches,2016,147,223.8
Nacogdoches2014,Nacogdoches,2014,97,148.7
Nacogdoches2015,Nacogdoches,2015,76,116
Navarro2015,Navarro,2015,111,230.2
Navarro2017,Navarro,2017,82,168.1
Navarro2016,Navarro,2016,75,154.9
Navarro2014,Navarro,2014,59,123.1
Navarro2018,Navarro,2018,57,115
Newton2018,Newton,2018,17,123.7
Newton2017,Newton,2017,12,86.1
Newton2016,Newton,2016,7,49.4
Newton2015,Newton,2015,6,42.4
Newton2014,Newton,2014,,
Nolan2018,Nolan,2018,50,339
Nolan2014,Nolan,2014,33,218.1
Nolan2016,Nolan,2016,32,213.1
Nolan2015,Nolan,2015,32,211.9
Nolan2017,Nolan,2017,20,134.8
Nueces2018,Nueces,2018,871,240.4
Nueces2014,Nueces,2014,721,202.1
Nueces2016,Nueces,2016,590,163.1
Nueces2017,Nueces,2017,571,158.2
Nueces2015,Nueces,2015,570,158.1
Ochiltree2017,Ochiltree,2017,8,79.5
Ochiltree2016,Ochiltree,2016,8,77.7
Ochiltree2018,Ochiltree,2018,7,70.4
Ochiltree2015,Ochiltree,2015,7,65.3
Ochiltree2014,Ochiltree,2014,,
Oldham2016,Oldham,2016,0,0
Oldham2015,Oldham,2015,0,0
Oldham2018,Oldham,2018,,
Oldham2017,Oldham,2017,,
Oldham2014,Oldham,2014,,
Orange2016,Orange,2016,79,93.5
Orange2015,Orange,2015,79,94.1
Orange2017,Orange,2017,74,87.1
Orange2014,Orange,2014,66,79.3
Orange2018,Orange,2018,60,71.8
Palo Pinto2016,Palo Pinto,2016,29,103.1
Palo Pinto2018,Palo Pinto,2018,18,62.3
Palo Pinto2017,Palo Pinto,2017,18,63
Palo Pinto2015,Palo Pinto,2015,16,57.2
Palo Pinto2014,Palo Pinto,2014,7,25
Panola2015,Panola,2015,43,181.7
Panola2016,Panola,2016,35,149.4
Panola2017,Panola,2017,24,103.4
Panola2014,Panola,2014,23,96.8
Panola2018,Panola,2018,22,95
Parker2015,Parker,2015,114,90.7
Parker2018,Parker,2018,100,72.3
Parker2017,Parker,2017,85,63.6
Parker2016,Parker,2016,74,57.3
Parker2014,Parker,2014,71,58.1
Parmer2015,Parmer,2015,7,71.3
Parmer2018,Parmer,2018,6,60.8
Parmer2016,Parmer,2016,6,61.1
Parmer2017,Parmer,2017,,
Parmer2014,Parmer,2014,,
Pecos2016,Pecos,2016,29,183
Pecos2017,Pecos,2017,12,76.8
Pecos2015,Pecos,2015,10,62.5
Pecos2014,Pecos,2014,9,56.8
Pecos2018,Pecos,2018,8,51
Polk2018,Polk,2018,46,91.9
Polk2016,Polk,2016,43,90.2
Polk2014,Polk,2014,38,82.9
Polk2017,Polk,2017,30,61.2
Polk2015,Polk,2015,30,64.3
Potter2018,Potter,2018,651,544.1
Potter2014,Potter,2014,557,456.1
Potter2017,Potter,2017,509,422.3
Potter2015,Potter,2015,501,412.7
Potter2016,Potter,2016,484,400.6
Presidio2016,Presidio,2016,9,124.9
Presidio2017,Presidio,2017,7,97.8
Presidio2015,Presidio,2015,5,70.5
Presidio2018,Presidio,2018,,
Presidio2014,Presidio,2014,,
Rains2014,Rains,2014,11,99.9
Rains2016,Rains,2016,8,70.8
Rains2015,Rains,2015,6,53.9
Rains2018,Rains,2018,,
Rains2017,Rains,2017,,
Randall2014,Randall,2014,141,109.5
Randall2018,Randall,2018,129,94.7
Randall2015,Randall,2015,115,88.2
Randall2016,Randall,2016,78,58.9
Randall2017,Randall,2017,56,41.7
Reagan2017,Reagan,2017,0,0
Reagan2018,Reagan,2018,,
Reagan2016,Reagan,2016,,
Reagan2015,Reagan,2015,,
Reagan2014,Reagan,2014,,
Real2015,Real,2015,0,0
Real2018,Real,2018,,
Real2017,Real,2017,,
Real2016,Real,2016,,
Real2014,Real,2014,,
Red River2017,Red River,2017,21,172.1
Red River2015,Red River,2015,10,80.9
Red River2018,Red River,2018,6,49.3
Red River2016,Red River,2016,,
Red River2014,Red River,2014,,
Reeves2018,Reeves,2018,18,114.7
Reeves2016,Reeves,2016,15,99.2
Reeves2017,Reeves,2017,14,91.5
Reeves2015,Reeves,2015,12,80.2
Reeves2014,Reeves,2014,5,34.3
Refugio2018,Refugio,2018,9,128
Refugio2014,Refugio,2014,7,95.1
Refugio2017,Refugio,2017,,
Refugio2016,Refugio,2016,,
Refugio2015,Refugio,2015,,
Roberts2017,Roberts,2017,0,0
Roberts2016,Roberts,2016,0,0
Roberts2015,Roberts,2015,0,0
Roberts2018,Roberts,2018,,
Roberts2014,Roberts,2014,,
Robertson2017,Robertson,2017,63,366.6
Robertson2018,Robertson,2018,42,243
Robertson2014,Robertson,2014,41,249
Robertson2015,Robertson,2015,32,191.6
Robertson2016,Robertson,2016,31,184.4
Rockwall2017,Rockwall,2017,49,50.6
Rockwall2018,Rockwall,2018,46,45.7
Rockwall2016,Rockwall,2016,40,42.8
Rockwall2015,Rockwall,2015,39,43.3
Rockwall2014,Rockwall,2014,21,24.1
Runnels2017,Runnels,2017,18,174.2
Runnels2018,Runnels,2018,9,87.9
Runnels2015,Runnels,2015,5,48.1
Runnels2014,Runnels,2014,5,48.6
Runnels2016,Runnels,2016,,
Rusk2018,Rusk,2018,65,119.4
Rusk2017,Rusk,2017,49,90.2
Rusk2016,Rusk,2016,46,86.9
Rusk2014,Rusk,2014,34,63.9
Rusk2015,Rusk,2015,28,52.8
Sabine2018,Sabine,2018,12,113.3
Sabine2017,Sabine,2017,11,105.4
Sabine2016,Sabine,2016,5,48.2
Sabine2015,Sabine,2015,5,47.9
Sabine2014,Sabine,2014,,
San Augustine2018,San Augustine,2018,12,145.8
San Augustine2017,San Augustine,2017,10,120.6
San Augustine2016,San Augustine,2016,10,120.7
San Augustine2014,San Augustine,2014,5,59
San Augustine2015,San Augustine,2015,,
San Jacinto2017,San Jacinto,2017,30,106.2
San Jacinto2018,San Jacinto,2018,28,97.5
San Jacinto2015,San Jacinto,2015,20,73.1
San Jacinto2016,San Jacinto,2016,18,64.9
San Jacinto2014,San Jacinto,2014,6,22.2
San Patricio2014,San Patricio,2014,41,61.5
San Patricio2015,San Patricio,2015,38,56.6
San Patricio2016,San Patricio,2016,32,47.5
San Patricio2018,San Patricio,2018,31,46.3
San Patricio2017,San Patricio,2017,17,25.3
San Saba2017,San Saba,2017,0,0
San Saba2018,San Saba,2018,,
San Saba2016,San Saba,2016,,
San Saba2015,San Saba,2015,,
San Saba2014,San Saba,2014,,
Schleicher2015,Schleicher,2015,0,0
Schleicher2018,Schleicher,2018,,
Schleicher2017,Schleicher,2017,,
Schleicher2016,Schleicher,2016,,
Schleicher2014,Schleicher,2014,,
Scurry2015,Scurry,2015,27,153.7
Scurry2014,Scurry,2014,27,155.4
Scurry2018,Scurry,2018,17,100.8
Scurry2017,Scurry,2017,17,100
Scurry2016,Scurry,2016,14,80.5
Shackelford2018,Shackelford,2018,,
Shackelford2017,Shackelford,2017,,
Shackelford2016,Shackelford,2016,,
Shackelford2015,Shackelford,2015,,
Shackelford2014,Shackelford,2014,,
Shelby2018,Shelby,2018,28,110.2
Shelby2017,Shelby,2017,24,94.8
Shelby2014,Shelby,2014,20,78.1
Shelby2016,Shelby,2016,13,50.7
Shelby2015,Shelby,2015,13,51.2
Sherman2018,Sherman,2018,0,0
Sherman2017,Sherman,2017,0,0
Sherman2016,Sherman,2016,,
Sherman2015,Sherman,2015,,
Sherman2014,Sherman,2014,,
Smith2016,Smith,2016,448,198.8
Smith2018,Smith,2018,415,180.3
Smith2017,Smith,2017,404,177.6
Smith2014,Smith,2014,357,162.6
Smith2015,Smith,2015,323,145.2
Somervell2018,Somervell,2018,6,66.5
Somervell2017,Somervell,2017,,
Somervell2016,Somervell,2016,,
Somervell2015,Somervell,2015,,
Somervell2014,Somervell,2014,,
Starr2018,Starr,2018,28,43.4
Starr2017,Starr,2017,27,42
Starr2016,Starr,2016,25,39
Starr2014,Starr,2014,18,28.5
Starr2015,Starr,2015,14,22
Stephens2015,Stephens,2015,10,106.5
Stephens2018,Stephens,2018,8,84.8
Stephens2017,Stephens,2017,7,75.2
Stephens2016,Stephens,2016,5,53.3
Stephens2014,Stephens,2014,,
Sterling2017,Sterling,2017,0,0
Sterling2016,Sterling,2016,0,0
Sterling2014,Sterling,2014,0,0
Sterling2018,Sterling,2018,,
Sterling2015,Sterling,2015,,
Stonewall2014,Stonewall,2014,0,0
Stonewall2018,Stonewall,2018,,
Stonewall2017,Stonewall,2017,,
Stonewall2016,Stonewall,2016,,
Stonewall2015,Stonewall,2015,,
Sutton2018,Sutton,2018,,
Sutton2017,Sutton,2017,,
Sutton2016,Sutton,2016,,
Sutton2015,Sutton,2015,,
Sutton2014,Sutton,2014,,
Swisher2014,Swisher,2014,5,66.2
Swisher2017,Swisher,2017,0,0
Swisher2018,Swisher,2018,,
Swisher2016,Swisher,2016,,
Swisher2015,Swisher,2015,,
Tarrant2018,Tarrant,2018,"3,210",154
Tarrant2016,Tarrant,2016,"3,080",152.1
Tarrant2015,Tarrant,2015,"2,878",144.9
Tarrant2017,Tarrant,2017,"2,759",134.1
Tarrant2014,Tarrant,2014,"2,604",133.8
Taylor2017,Taylor,2017,343,250.9
Taylor2015,Taylor,2015,292,214.5
Taylor2016,Taylor,2016,272,199.6
Taylor2018,Taylor,2018,177,128.6
Taylor2014,Taylor,2014,146,108.1
Terrell2018,Terrell,2018,0,0
Terrell2017,Terrell,2017,0,0
Terrell2015,Terrell,2015,0,0
Terrell2014,Terrell,2014,0,0
Terrell2016,Terrell,2016,,
Terry2015,Terry,2015,36,282.2
Terry2017,Terry,2017,30,240.8
Terry2018,Terry,2018,28,227.9
Terry2016,Terry,2016,24,187.8
Terry2014,Terry,2014,7,54.7
Throckmorton2018,Throckmorton,2018,0,0
Throckmorton2017,Throckmorton,2017,0,0
Throckmorton2016,Throckmorton,2016,0,0
Throckmorton2015,Throckmorton,2015,0,0
Throckmorton2014,Throckmorton,2014,0,0
Titus2018,Titus,2018,28,84.8
Titus2017,Titus,2017,28,85.4
Titus2016,Titus,2016,22,67.5
Titus2015,Titus,2015,20,61.2
Titus2014,Titus,2014,15,46.1
Tom Green2017,Tom Green,2017,299,254.1
Tom Green2018,Tom Green,2018,273,231
Tom Green2016,Tom Green,2016,253,215.1
Tom Green2014,Tom Green,2014,245,210.6
Tom Green2015,Tom Green,2015,213,181.3
Travis2018,Travis,2018,"3,423",274.1
Travis2017,Travis,2017,"3,161",257.5
Travis2016,Travis,2016,"2,823",234
Travis2015,Travis,2015,"2,428",205.7
Travis2014,Travis,2014,"2,125",184.3
Trinity2016,Trinity,2016,14,96.2
Trinity2014,Trinity,2014,9,62.9
Trinity2015,Trinity,2015,8,55
Trinity2017,Trinity,2017,7,47.6
Trinity2018,Trinity,2018,5,33.9
Tyler2018,Tyler,2018,20,92.2
Tyler2016,Tyler,2016,16,74.7
Tyler2017,Tyler,2017,15,69.7
Tyler2014,Tyler,2014,11,51.3
Tyler2015,Tyler,2015,10,46.8
Upshur2017,Upshur,2017,39,94.8
Upshur2014,Upshur,2014,37,91.8
Upshur2016,Upshur,2016,35,85.8
Upshur2015,Upshur,2015,28,69.4
Upshur2018,Upshur,2018,16,38.8
Upton2018,Upton,2018,7,190.7
Upton2017,Upton,2017,6,163.9
Upton2016,Upton,2016,0,0
Upton2015,Upton,2015,,
Upton2014,Upton,2014,,
Uvalde2014,Uvalde,2014,36,133.1
Uvalde2015,Uvalde,2015,27,100.1
Uvalde2016,Uvalde,2016,15,55.4
Uvalde2017,Uvalde,2017,11,40.6
Uvalde2018,Uvalde,2018,8,29.8
Val Verde2018,Val Verde,2018,33,67.1
Val Verde2014,Val Verde,2014,27,55.2
Val Verde2016,Val Verde,2016,25,51
Val Verde2015,Val Verde,2015,24,49
Val Verde2017,Val Verde,2017,16,32.6
Van Zandt2014,Van Zandt,2014,40,75.8
Van Zandt2017,Van Zandt,2017,36,65.2
Van Zandt2016,Van Zandt,2016,28,51.5
Van Zandt2015,Van Zandt,2015,27,50.5
Van Zandt2018,Van Zandt,2018,25,44.6
Victoria2018,Victoria,2018,151,164.1
Victoria2014,Victoria,2014,142,155.9
Victoria2017,Victoria,2017,113,122.7
Victoria2015,Victoria,2015,105,113.9
Victoria2016,Victoria,2016,96,103.8
Walker2018,Walker,2018,122,168.3
Walker2017,Walker,2017,106,146.4
Walker2015,Walker,2015,99,139.7
Walker2014,Walker,2014,89,127
Walker2016,Walker,2016,88,122.4
Waller2016,Waller,2016,72,143.8
Waller2018,Waller,2018,49,92.2
Waller2017,Waller,2017,40,78
Waller2015,Waller,2015,40,82.2
Waller2014,Waller,2014,29,62
Ward2017,Ward,2017,19,166.3
Ward2015,Ward,2015,19,163.3
Ward2018,Ward,2018,15,128
Ward2014,Ward,2014,9,77.8
Ward2016,Ward,2016,7,60.4
Washington2014,Washington,2014,60,174.4
Washington2018,Washington,2018,48,136.7
Washington2017,Washington,2017,48,137.5
Washington2016,Washington,2016,47,135.3
Washington2015,Washington,2015,44,126.3
Webb2017,Webb,2017,128,46.7
Webb2016,Webb,2016,118,43.3
Webb2018,Webb,2018,117,42.4
Webb2014,Webb,2014,96,35.9
Webb2015,Webb,2015,88,32.6
Wharton2017,Wharton,2017,61,145.5
Wharton2018,Wharton,2018,37,88.9
Wharton2015,Wharton,2015,36,86.9
Wharton2016,Wharton,2016,34,81.6
Wharton2014,Wharton,2014,29,70.5
Wheeler2018,Wheeler,2018,,
Wheeler2017,Wheeler,2017,,
Wheeler2016,Wheeler,2016,,
Wheeler2015,Wheeler,2015,,
Wheeler2014,Wheeler,2014,,
Wichita2017,Wichita,2017,342,259.3
Wichita2016,Wichita,2016,283,215.3
Wichita2018,Wichita,2018,224,169.6
Wichita2015,Wichita,2015,152,116
Wichita2014,Wichita,2014,152,114.6
Wilbarger2018,Wilbarger,2018,15,117
Wilbarger2017,Wilbarger,2017,13,102
Wilbarger2015,Wilbarger,2015,13,99.5
Wilbarger2016,Wilbarger,2016,8,62
Wilbarger2014,Wilbarger,2014,,
Willacy2014,Willacy,2014,14,63.7
Willacy2017,Willacy,2017,9,41.7
Willacy2016,Willacy,2016,9,41.3
Willacy2018,Willacy,2018,6,27.9
Willacy2015,Willacy,2015,,
Williamson2017,Williamson,2017,420,76.9
Williamson2018,Williamson,2018,330,58.2
Williamson2016,Williamson,2016,324,61.4
Williamson2015,Williamson,2015,314,61.9
Williamson2014,Williamson,2014,312,63.9
Wilson2017,Wilson,2017,41,83.3
Wilson2016,Wilson,2016,28,58.1
Wilson2018,Wilson,2018,26,51.8
Wilson2014,Wilson,2014,16,34.7
Wilson2015,Wilson,2015,11,23.3
Winkler2018,Winkler,2018,16,207.3
Winkler2015,Winkler,2015,9,112.3
Winkler2016,Winkler,2016,6,76.2
Winkler2014,Winkler,2014,6,76.7
Winkler2017,Winkler,2017,,
Wise2017,Wise,2017,38,57.7
Wise2018,Wise,2018,30,43.9
Wise2015,Wise,2015,30,47.7
Wise2014,Wise,2014,25,40.5
Wise2016,Wise,2016,18,27.9
Wood2015,Wood,2015,43,99.7
Wood2014,Wood,2014,35,81.8
Wood2018,Wood,2018,29,64.3
Wood2016,Wood,2016,24,54.8
Wood2017,Wood,2017,11,24.8
Yoakum2017,Yoakum,2017,8,93.4
Yoakum2016,Yoakum,2016,6,69.4
Yoakum2015,Yoakum,2015,5,57.8
Yoakum2018,Yoakum,2018,,
Yoakum2014,Yoakum,2014,,
Young2018,Young,2018,22,121.9
Young2016,Young,2016,12,66.3
Young2017,Young,2017,11,61.2
Young2014,Young,2014,11,60.2
Young2015,Young,2015,6,33
Zapata2018,Zapata,2018,,
Zapata2017,Zapata,2017,,
Zapata2016,Zapata,2016,,
Zapata2015,Zapata,2015,,
Zapata2014,Zapata,2014,,
Zavala2015,Zavala,2015,8,64.9
Zavala2014,Zavala,2014,5,40.8
Zavala2018,Zavala,2018,,
Zavala2017,Zavala,2017,,
Zavala2016,Zavala,2016,,
